"Database","Source","Site_name","Site","Plot","Habitat_type","Habitat","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell","Miller et al 2022","LCM Fleet C11","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94631,-4.08114,0.2,0.25,0.552,NA,2.607099102,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C12","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.945934,-4.080732,0,0.05,14.958,2.059,0.380707364,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C12","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.945934,-4.080732,0.1,0.15,1.974,NA,2.273690316,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C2","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94985787,-4.08245143,0,0.05,25.192,1.948,0.419470892,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C2","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94985787,-4.08245143,0.2,0.25,0.874,NA,1.411088633,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C2","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94985787,-4.08245143,0.1,0.15,3.445,NA,1.730279409,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C3","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94945356,-4.08246358,0,0.05,20.012,1.671,0.468731697,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C3","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94945356,-4.08246358,0.1,0.15,4.587,NA,1.526947726,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C3","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94945356,-4.08246358,0.2,0.25,0.606,NA,2.354138785,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C4","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9490505,-4.08242105,0,0.05,25.873,2.09,0.413175355,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C4","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9490505,-4.08242105,0.1,0.15,1.494,NA,2.343733465,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C4","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9490505,-4.08242105,0.2,0.25,0.762,NA,2.413111693,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C5","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9486629,-4.08234419,0,0.05,7.867,0.397,0.988368112,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C5","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9486629,-4.08234419,0.1,0.15,5.378,NA,1.416973898,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C5","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9486629,-4.08234419,0.2,0.25,4.807,NA,1.465668812,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C5","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9486629,-4.08234419,0.4,0.45,0.36,NA,2.453961944,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C5","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.9486629,-4.08234419,0.3,0.35,0.351,NA,2.654832001,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C6","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0,0.05,17.89,1.871,0.468477046,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C6","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.1,0.15,4.703,NA,1.532783476,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C6","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.2,0.25,0.617,NA,1.86653887,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C7","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94784114,-4.08195521,0,0.05,23.261,2.151,0.358772017,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C7","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94784114,-4.08195521,0.1,0.15,3.922,NA,1.613925161,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C7","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94784114,-4.08195521,0.2,0.25,2.72,NA,2.077573743,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C7","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94784114,-4.08195521,0.3,0.35,0.817,NA,2.595745915,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C8","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94747381,-4.08166883,0,0.05,24.163,1.934,0.343846644,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C8","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94747381,-4.08166883,0.1,0.15,0.25,NA,2.452469407,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C8","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94747381,-4.08166883,0.2,0.25,0.403,NA,2.5870029,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C9","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94710131,-4.08153539,0,0.05,24.418,1.726,0.3541883,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C9","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94710131,-4.08153539,0.1,0.15,1.234,NA,1.072622197,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet C9","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94710131,-4.08153539,0.2,0.25,1.767,NA,2.288771309,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0,0.02,27.056,NA,0.2,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.02,0.03,2.017,NA,0.18,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.03,0.04,18.161,NA,0.21,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.04,0.05,0.365,NA,0.17,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.05,0.06,20.821,NA,0.19,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.06,0.07,20.469,NA,0.2,"https://doi.org/10.7489/12422-1"
