"Database","Source","study_id","study_site_core","site_id","Site","Plot","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,3.02,0.37,0.7,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,0.84,0.1,1.29,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_4","Kenton",NA,NA,"4","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.15,0.02,1.94,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_5","Kenton",NA,NA,"5","Salt marsh",2018,"30.465747","-115.980806",0,0.15,3.56,0.42,0.79,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_5","Kenton",NA,NA,"5","Salt marsh",2018,"30.465747","-115.980806",0.15,0.3,2.24,0.27,0.87,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_5","Kenton",NA,NA,"5","Salt marsh",2018,"30.465747","-115.980806",0.3,0.5,2.13,0.24,1.12,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Kenton_5","Kenton",NA,NA,"5","Salt marsh",2018,"30.465747","-115.980806",0.5,1,0.22,0.03,2.32,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_1","Arco",NA,NA,"1","Salt marsh",2018,"30.457969","-116.025869",0,0.15,15.56,1.6,0.52,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_1","Arco",NA,NA,"1","Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,10.9,1.2,0.64,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_1","Arco",NA,NA,"1","Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,8.34,1.09,0.96,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_1","Arco",NA,NA,"1","Salt marsh",2018,"30.457969","-116.025869",0.5,1,2.6,0.3,1.27,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_2","Arco",NA,NA,"2","Salt marsh",2018,"30.457969","-116.025869",0,0.15,14.5,1.34,0.52,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_2","Arco",NA,NA,"2","Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,4.67,0.54,0.88,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_2","Arco",NA,NA,"2","Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,11.2,1.43,1.12,NA
