study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T30004,"Transect 3, Position 4",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.78491667,138.5201389,0,0.1,5.476846769,0.437489329,NA,0.490992999,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T30005,"Transect 3, Position 5",Mangrove,A marina,2016,34.78491667,138.5201389,0,0.1,2.55659058,0.206426522,NA,0.782047602,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T30006,"Transect 3, Position 6",Mangrove,A marina,2016,34.78491667,138.5201389,0,0.1,6.867742063,0.544039133,NA,0.445434897,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T30007,"Transect 3, Position 7",Mangrove,A marina,2016,34.78491667,138.5201389,0,0.1,3.989073495,0.334840807,NA,0.617720123,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 1_Torrens Island ,T30008,"Transect 3, Position 8",Mangrove,A marina,2016,34.78491667,138.5201389,0,0.1,4.458490595,0.355504633,NA,0.695308158,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT40001,"Transect 1, Position 1",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66233333,138.4476111,0,0.1,2.677556513,0.35083138,NA,0.418975388,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT40002,"Transect 1, Position 2",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66233333,138.4476111,0,0.1,1.901549271,0.253456237,NA,0.642190195,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT40003,"Transect 1, Position 3",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66233333,138.4476111,0,0.1,1.89674365,0.24517725,NA,0.665466606,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT40004,"Transect 1, Position 4",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66233333,138.4476111,0,0.1,1.473680365,0.202321239,NA,0.816265914,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT40005,"Transect 1, Position 5",Mangrove,A marina,2016,34.66233333,138.4476111,0,0.1,2.764356186,0.363472149,NA,0.508301099,GPS was taken from the centre core of each transect
