study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_cm,L_depth_cm,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Adame_unpublished,,Arco,2,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,50,100,7.48,0.85,,1.32,
Adame_unpublished,,Arco,3,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,0,15,6.55,0.63,,0.35,
Adame_unpublished,,Arco,3,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,15,30,3.67,0.42,,0.57,
Adame_unpublished,,Arco,3,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,30,50,2.37,0.32,,1.02,
Adame_unpublished,,Arco,3,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,50,100,1.12,0.12,,1.53,
Adame_unpublished,,Arco,4,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,0,15,3.24,0.34,,0.5,
Adame_unpublished,,Arco,4,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,15,30,2.6,0.3,,0.7,
Adame_unpublished,,Arco,4,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,30,50,1.25,0.17,,1.29,
Adame_unpublished,,Arco,4,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,50,100,0.82,0.1,,1.94,
Adame_unpublished,,Arco,5,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,0,15,4.01,0.37,,0.79,
Adame_unpublished,,Arco,5,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,15,30,1.68,0.2,,0.87,
Adame_unpublished,,Arco,5,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,30,50,1.12,0.14,,1.12,
Adame_unpublished,,Arco,5,Baja California North,Salt marsh,marsh,2018,30.457969,-116.025869,50,100,1.34,0.16,,2.32,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,1,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,0,15,29.25,0.94,,0.28,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,1,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,15,30,28.21,1.09,,0.21,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,1,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,30,50,26.55,0.83,,0.18,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,1,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,50,144,28.1,1.25,,0.13,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,2,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,0,15,27.2,0.9,,0.19,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,2,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,15,30,20.03,0.81,,0.18,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,2,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,30,50,14.08,0.56,,0.27,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,2,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,50,150,27.47,1.19,,0.14,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,3,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,0,15,31.02,1.03,,0.17,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,3,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,15,30,25.4,1.02,,0.19,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,3,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,30,50,6.88,0.4,,0.35,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,3,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,50,150,18.56,0.66,,0.18,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,4,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,0,15,22.53,1.08,,0.25,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,4,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,15,30,14.87,0.71,,0.21,
