study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.25,0.26,0.51,0.06,NA,1.65,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.26,0.27,0.46,0.06,NA,1.46,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.27,0.28,0.47,0.06,NA,1.03,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.28,0.29,0.48,0.06,NA,1.4,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.29,0.3,0.43,0.06,NA,1.72,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.3,0.31,0.44,0.05,NA,1.32,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.31,0.32,0.42,0.05,NA,1.53,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.32,0.33,0.43,0.05,NA,1.38,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.33,0.34,0.46,0.05,NA,1.41,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.34,0.35,0.42,0.05,NA,1.41,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.35,0.36,0.34,0.04,NA,1.29,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.36,0.37,0.42,0.05,NA,1.53,
