LON,LAT,REGION,ENVSETT,SITE,CORE,DEPTH,subsmple_up_depth_cm,subsmple_lw_depth_cm,core_up_depth_cm,core_lw_depth_cm,core_depth_interval_cm,N_pcent,C_pcent,BD_gcc,,,,,
-39.331621,-17.788452,S10,DT,BA2,3,1,5,10,0,15,15,0.467,8.979,0.347,,,,,
-39.331621,-17.788452,S10,DT,BA2,3,2,20,25,15,30,15,0.493,11.529,0.302,,,,,
-39.331621,-17.788452,S10,DT,BA2,3,3,37.5,42.5,30,50,20,0.394,8.773,0.386,,,,,
-39.331621,-17.788452,S10,DT,BA2,3,4,72.5,77.5,50,100,50,0.352,7.362,0.444,,,,,
-39.215733,-17.773427,S10,DT,BA3,1,1,5,10,0,15,15,0.303,2.468,0.778,,,,,
-39.215733,-17.773427,S10,DT,BA3,1,2,20,25,15,30,15,0.156,2.506,0.795,,,,,
-39.215733,-17.773427,S10,DT,BA3,1,3,37.5,42.5,30,50,20,0.161,3.160,0.798,,,,,
-39.215733,-17.773427,S10,DT,BA3,1,4,72.5,77.5,50,100,50,0.064,0.899,1.136,,,,,
-39.215733,-17.773427,S10,DT,BA3,2,1,5,10,0,15,15,0.206,2.891,0.604,,,,,
-39.215733,-17.773427,S10,DT,BA3,2,2,20,25,15,30,15,0.164,2.141,0.790,,,,,
-39.215733,-17.773427,S10,DT,BA3,2,3,37.5,42.5,30,50,20,0.156,2.476,0.863,,,,,
-39.215733,-17.773427,S10,DT,BA3,2,4,72.5,77.5,50,100,50,0.075,0.813,1.336,,,,,
-39.215733,-17.773427,S10,DT,BA3,3,1,5,10,0,15,15,0.248,3.015,0.542,,,,,
-39.215733,-17.773427,S10,DT,BA3,3,2,20,25,15,30,15,0.203,2.307,0.727,,,,,
-39.215733,-17.773427,S10,DT,BA3,3,3,37.5,42.5,30,50,20,0.214,3.415,0.770,,,,,
-39.215733,-17.773427,S10,DT,BA3,3,4,72.5,77.5,50,100,50,0.199,3.702,0.756,,,,,
-48.0314,-0.667411,S0,DT1,PA1,1,1,5,10,0,15,15,0.205,2.554,0.733,,,,,
-48.0314,-0.667411,S0,DT1,PA1,1,2,20,25,15,30,15,0.154,2.969,0.784,,,,,
-48.0314,-0.667411,S0,DT1,PA1,1,3,37.5,42.5,30,50,20,0.072,1.163,1.002,,,,,
-48.0314,-0.667411,S0,DT1,PA1,1,4,72.5,77.5,50,100,50,0.122,2.617,0.736,,,,,
-48.0314,-0.667411,S0,DT1,PA1,2,1,5,10,0,15,15,0.077,1.191,1.036,,,,,
-48.0314,-0.667411,S0,DT1,PA1,2,2,20,25,15,30,15,0.059,1.059,1.030,,,,,
-48.0314,-0.667411,S0,DT1,PA1,2,3,37.5,42.5,30,50,20,0.110,2.563,0.813,,,,,
-48.0314,-0.667411,S0,DT1,PA1,2,4,72.5,77.5,50,100,50,0.112,2.242,0.863,,,,,
-48.0314,-0.667411,S0,DT1,PA1,3,1,5,10,0,15,15,0.075,1.568,1.031,,,,,
-48.0314,-0.667411,S0,DT1,PA1,3,2,20,25,15,30,15,0.044,1.057,1.091,,,,,
-48.0314,-0.667411,S0,DT1,PA1,3,3,37.5,42.5,30,50,20,0.064,1.812,0.893,,,,,
