sample_id,IDnumber,Core,Site,Veg,Treatment,Depth,15N,N_perc,,upperdepthcm,lowerdepthcm,sample_id,BD,carbonfrac
NM1MC_5,,,NM,M,C,,,,,4,5,NM1MC_5,NA,NA
NM1MC_15,,,NM,M,C,,,,,14,15,NM1MC_15,NA,NA
NM1MC_30,114,NM1MC ,NM,M,C,30,1.1329928,0.458108085,,29,30,NM1MC_30,0.724079807,0.063
NM2MC_5,115,NM2MC_OL.15,NM,M,C,5,2.33486,0.324492167,,4,5,NM2MC_5,0.631892487,0.052
NM2MC_15,117,NM2MC_OL.15,NM,M,C,15,2.6702648,1.058386154,,14,15,NM2MC_15,0.809214849,0.113
NM2MC_30,120,NM2MC,NM,M,C,30,2.69718,0.65178602,,29,30,NM2MC_30,0.993519893,0.091
NM3MC_5,121,NM3MC_OL.20,NM,M,C,5,2.396972,0.348314188,,4,5,NM3MC_5,0.661294956,0.042
NM3MC_15,123,NM3MC_OL.20,NM,M,C,15,2.6174696,0.72758453,,14,15,NM3MC_15,0.775383433,0.075
NM3MC_30,126,NM3MC ,NM,M,C,30,2.3483176,0.3088182,,29,30,NM3MC_30,0.726495563,0.041
NM4MC_5,127,NM4MC,NM,M,C,5,1.115277,0.459703982,,4,5,NM4MC_5,0.788758379,0.058
NM4MC_15,129,NM4MC,NM,M,C,15,1.5848115,0.461137397,,14,15,NM4MC_15,0.806431433,0.069
NM4MC_30,132,NM4MC,NM,M,C,30,-0.0336776,0.074844301,,29,30,NM4MC_30,0.536174427,NA
NM5MC_5,133,NM5MC,NM,M,C,5,2.3793736,0.588670885,,4,5,NM5MC_5,0.697847555,0.092
NM5MC_15,135,NM5MC,NM,M,C,15,2.9673672,0.859479661,,14,15,NM5MC_15,0.706874444,0.096
NM5MC_30,138,NM5MC,NM,M,C,30,1.4973832,0.347982364,,29,30,NM5MC_30,0.8300106,0.05
NM6MC_5,139,NM6MC_OL.10,NM,M,C,5,2.9311352,0.745091753,,4,5,NM6MC_5,0.74614209,0.083
NM6MC_15,141,NM6MC_OL.10,NM,M,C,15,3.21478,0.839851279,,14,15,NM6MC_15,0.751788422,0.089
NM6MC_30,144,NM6MC,NM,M,C,30,1.2415225,0.261489861,,29,30,NM6MC_30,0.601724628,0.039
GC1GW_5,145,GC1GW_OL.15,GC,G,W,5,3.551052,0.528409203,,4,5,GC1GW_5,0.719240783,0.076
GC1GW_15,147,GC1GW_OL.15,GC,G,W,15,3.559344,0.49528759,,14,15,GC1GW_15,0.716693645,0.082
GC1GW_30,150,GC1GW,GC,G,W,30,-0.403244,0.108122973,,29,30,GC1GW_30,0.527750699,0.017
GC2GW_5,151,GC2GW ,GC,G,W,5,4.3648872,0.321181826,,4,5,GC2GW_5,0.675099434,0.036
GC2GW_15,153,GC2GW,GC,G,W,15,3.4652984,0.180882169,,14,15,GC2GW_15,0.563322106,0.02
GC2GW_30,156,GC2GW,GC,G,W,30,3.194496,0.188309554,,29,30,GC2GW_30,0.639080371,0.021
GC3GW_5,157,GC3GW_OL.15,GC,G,W,5,2.842086,0.399677741,,4,5,GC3GW_5,0.660487793,0.067
GC3GW_15,159,GC3GW_OL.15,GC,G,W,15,3.451548,0.575673726,,14,15,GC3GW_15,0.66337427,0.07
GC3GW_30,162,GC3GW ,GC,G,W,30,2.0004904,0.308085011,,29,30,GC3GW_30,0.828992126,0.048
GC4GW_5,163,GC4GW,GC,G,W,5,3.3054015,0.765295311,,4,5,GC4GW_5,0.799755503,0.101
GC4GW_15,165,GC4GW,GC,G,W,15,2.4782745,0.434751862,,14,15,GC4GW_15,0.707696419,0.057
GC4GW_30,168,GC4GW,GC,G,W,30,-2.8183656,0.052893551,,29,30,GC4GW_30,0.369284719,NA
GC5GW_5,169,GC5GW_O.20,GC,G,W,5,4.629012,0.322074021,,4,5,GC5GW_5,0.633145462,0.034
GC5GW_15,171,GC5GW_O.20,GC,G,W,15,3.7054905,0.221726394,,14,15,GC5GW_15,0.610533124,0.026
GC5GW_30,174,GC5GW   ,GC,G,W,30,2.3214024,0.17102357,,29,30,GC5GW_30,0.614655808,0.02
GC6GW_5,175,GC6GW_O.15cm,GC,G,W,5,2.929152,0.562845971,,4,5,GC6GW_5,0.722546954,0.081
GC6GW_15,177,GC6GW_O.15cm,GC,G,W,15,2.0159955,0.500338759,,14,15,GC6GW_15,0.71602697,0.084
GC6GW_30,180,GC6GW ,GC,G,W,30,0.1164264,0.216533647,,29,30,GC6GW_30,0.720004819,0.041
GC1GC_5,181,GC1GC OLayer13,GC,G,C,5,4.1350728,0.581508461,,4,5,GC1GC_5,0.788765095,0.085
GC1GC_15,183,GC1GC OLayer13,GC,G,C,15,2.6754408,0.321942368,,14,15,GC1GC_15,0.701187736,0.047
GC1GC_30,186,GC1GC,GC,G,C,30,3.0739928,0.207200106,,29,30,GC1GC_30,0.690513994,0.031
GC2GC_5,187,GC2GC_OL.20,GC,G,C,5,3.9269976,0.401847483,,4,5,GC2GC_5,0.670224091,0.042
GC2GC_15,189,GC2GC_OL.20,GC,G,C,15,3.9207864,0.348535932,,14,15,GC2GC_15,0.714473649,0.047
GC2GC_30,192,GC2GC ,GC,G,C,30,-1.780355,0.115665994,,29,30,GC2GC_30,0.459722348,0.019
GC3GC_5,,,GC,G,C,,,,,4,5,GC3GC_5,NA,NA
GC3GC_15,,,GC,G,C,,,,,14,15,GC3GC_15,NA,NA
GC3GC_30,198,GC3GC,GC,G,C,30,0.9539032,0.110454912,,29,30,GC3GC_30,0.572049459,0.017
GC4GC_5,199,GC4GC,GC,G,C,5,2.3855848,0.671266497,,4,5,GC4GC_5,0.781924158,0.111
GC4GC_15,201,GC4GC,GC,G,C,15,2.5532872,0.799252661,,14,15,GC4GC_15,0.737915611,0.112
GC4GC_30,204,GC4GC,GC,G,C,30,1.0242968,0.270041024,,20,30,GC4GC_30,NA,0.044
GC5GC_5,205,GC5GC,GC,G,C,5,4.0226595,0.271302655,,4,5,GC5GC_5,0.714580876,0.026
GC5GC_15,207,GC5GC,GC,G,C,15,-1.7278425,0.05097443,,14,15,GC5GC_15,0.328625416,0.006
GC5GC_30,210,GC5GC,GC,G,C,30,2.5708856,0.141438204,,29,30,GC5GC_30,0.612727916,0.016
GC6GC_5,211,GC6GC_OL.10,GC,G,C,5,2.4425208,0.51034042,,4,5,GC6GC_5,0.69952634,0.086
GC6GC_15,213,GC6GC_OL.10,GC,G,C,15,2.98186,0.671885216,,14,15,GC6GC_15,0.553834402,0.1
GC6GC_30,216,GC6GC,GC,G,C,30,1.8421048,0.488302402,,29,30,GC6GC_30,0.822933716,0.089
GC1MW_5,217,GC1MW,GC,M,W,5,1.3277595,0.189773701,,4,5,GC1MW_5,0.83115978,0.032
GC1MW_15,219,GC1MW,GC,M,W,15,0.418749,0.141688149,,14,15,GC1MW_15,0.60005095,0.023
GC1MW_30,222,GC1MW,GC,M,W,30,3.1247176,0.390908652,,29,30,GC1MW_30,0.785632976,0.059
GC2MW_5,223,GC2MW,GC,M,W,5,4.570968,0.358167608,,4,5,GC2MW_5,0.66987583,0.041
GC2MW_15,225,GC2MW,GC,M,W,15,3.718965,0.455028502,,14,15,GC2MW_15,0.780172772,0.072
GC2MW_30,228,GC2MW,GC,M,W,30,1.2955192,0.222073929,,29,30,GC2MW_30,0.752512826,0.033
GC3MW_5,229,GC3MW,GC,M,W,5,3.654702,0.524019323,,4,5,GC3MW_5,0.731928652,0.061
GC3MW_15,231,GC3MW,GC,M,W,15,2.5674135,0.31306314,,14,15,GC3MW_15,0.645594073,0.04
GC3MW_30,234,GC3MW,GC,M,W,30,0.269636,0.17027072,,29,30,GC3MW_30,0.686938451,0.033
GC4MW_5,235,GC4MW_O.15cm,GC,M,W,5,1.8916155,0.533533435,,4,5,GC4MW_5,0.584741417,0.084
GC4MW_15,237,GC4MW,GC,M,W,15,2.338347,0.61387906,,14,15,GC4MW_15,0.577066152,0.081
GC4MW_30,240,GC4MW,GC,M,W,30,0.922488,0.221021253,,29,30,GC4MW_30,0.62614786,0.035
GC5MW_5,241,GC5MW_O.10cm,GC,M,W,5,4.3750695,0.195625223,,4,5,GC5MW_5,0.59080457,0.02
GC5MW_15,243,GC5MW_O.10cm,GC,M,W,15,4.3854345,0.193527343,,14,15,GC5MW_15,0.609447133,0.018
GC5MW_30,246,GC5MW,GC,M,W,30,4.022236,0.149847151,,29,30,GC5MW_30,0.719718217,NA
GC6MW_5,247,GC6MW,GC,M,W,5,2.193237,0.65261083,,4,5,GC6MW_5,0.735813135,0.105
GC6MW_15,249,GC6MW,GC,M,W,15,2.172507,0.474398776,,14,15,GC6MW_15,0.717274107,0.072
GC6MW_30,252,GC6MW,GC,M,W,30,1.5149816,0.320483438,,29,30,GC6MW_30,0.810737644,0.057
GC1MC_5,253,GC1MC,GC,M,C,5,2.479311,0.417296123,,4,5,GC1MC_5,0.701566703,0.077
GC1MC_15,255,GC1MC,GC,M,C,15,3.7531695,0.755339573,,14,15,GC1MC_15,0.70983167,0.103
GC1MC_30,258,GC1MC,GC,M,C,30,-0.470532,0.126289486,,29,30,GC1MC_30,0.617936713,0.023
GC2MC_5,259,GC2MC,GC,M,C,5,3.42182,0.264754115,,4,5,GC2MC_5,0.730519662,0.029
GC2MC_15,261,GC2MC,GC,M,C,15,3.7230632,0.301079285,,14,15,GC2MC_15,0.788440579,0.037
GC2MC_30,264,GC2MC,GC,M,C,30,0.9849592,0.170914939,,29,30,GC2MC_30,0.55936684,0.023
GC3MC_5,265,GC3MC,GC,M,C,5,3.3773064,0.437921011,,4,5,GC3MC_5,0.656685813,0.059
GC3MC_15,267,GC3MC,GC,M,C,15,4.1371432,0.737588009,,14,15,GC3MC_15,0.587891731,0.086
GC3MC_30,270,GC3MC,GC,M,C,30,1.951836,0.410262929,,29,30,GC3MC_30,0.900011994,0.061
GC4MC_5,271,GC4MC,GC,M,C,5,2.428028,0.751042844,,4,5,GC4MC_5,0.756660192,0.107
GC4MC_15,273,GC4MC,GC,M,C,15,1.8576328,0.763545212,,14,15,GC4MC_15,0.769605261,0.141
GC4MC_30,276,GC4MC,GC,M,C,30,1.703388,0.438765592,,29,30,GC4MC_30,0.869128927,0.06
GC5MC_5,277,GC5MC,GC,M,C,5,4.9866045,0.402920734,,4,5,GC5MC_5,0.8001512,0.049
GC5MC_15,279,GC5MC,GC,M,C,15,5.317248,0.267333855,,14,15,GC5MC_15,0.69401179,0.027
GC5MC_30,282,GC5MC,GC,M,C,30,3.4135384,0.236746153,,29,30,GC5MC_30,0.72104123,0.027
GC6MC_5,283,GC6MC_OL.10,GC,M,C,5,1.9073224,0.611957757,,4,5,GC6MC_5,0.82867241,0.11
GC6MC_15,285,GC6MC_OL.10,GC,M,C,15,2.5905544,0.575150207,,14,15,GC6MC_15,0.791419405,0.105
GC6MC_30,,,GC,M,C,,,,,29,30,GC6MC_30,0.864575501,NA
SG1GW_5,,,SG,G,W,,,,,4,5,SG1GW_5,0.617596093,NA
SG1GW_15,,,SG,G,W,,,,,14,15,SG1GW_15,0.634788208,NA
SG1GW_30,294,GTM M5,SG,G,W,30,1.080205,0.32397846,,29,30,SG1GW_30,0.693142167,0.055
SG2GW_5,,,SG,G,W,,,,,4,5,SG2GW_5,0.588479458,0.059
SG2GW_15,,,SG,G,W,,,,,14,15,SG2GW_15,0.533104403,0.063
SG2GW_30,,,SG,G,W,,,,,29,30,SG2GW_30,1.379318477,NA
SG3GW_5,301,GTM M3,SG,G,W,5,1.2189175,0.316470072,,4,5,SG3GW_5,0.564088873,0.045
SG3GW_15,303,GTM M3,SG,G,W,15,0.70825,0.337797242,,14,15,SG3GW_15,0.545475692,0.057
SG3GW_30,,,SG,G,W,,,,,29,30,SG3GW_30,0.50248185,0.014
SG4GW_5,307,GTM M8,SG,G,W,5,2.1087325,0.438073976,,4,5,SG4GW_5,0.721452211,0.059
SG4GW_15,309,GTM M8,SG,G,W,15,3.02629,0.531677149,,14,15,SG4GW_15,0.740450166,0.063
SG4GW_30,312,GTM M8,SG,G,W,30,-5.0570525,0.059929495,,29,30,SG4GW_30,0.398688365,0.011
SG5GW_5,,,SG,G,W,,,,,4,5,SG5GW_5,NA,NA
SG5GW_15,,,SG,G,W,,,,,14,15,SG5GW_15,NA,NA
SG5GW_30,,,SG,G,W,,,,,29,30,SG5GW_30,NA,NA
SG6GW_5,319,SG6GW ,SG,G,W,5,1.4259544,0.192797137,,4,5,SG6GW_5,0.564538802,0.025
SG6GW_15,321,SG6GW,SG,G,W,15,-0.4270536,0.081596758,,14,15,SG6GW_15,0.45124279,0.013
SG6GW_30,324,SG6GW,SG,G,W,30,1.3576312,0.187119813,,29,30,SG6GW_30,0.612429968,0.026
SG1GC_5,325,GTM M1,SG,G,C,5,0.8510725,0.319110636,,4,5,SG1GC_5,0.573951,0.061
SG1GC_15,,,SG,G,C,,,,,14,15,SG1GC_15,0.676306595,NA
SG1GC_30,327,GTM M1,SG,G,C,30,2.642005,0.44521517,,29,30,SG1GC_30,0.906751519,0.059
SG2GC_5,,,SG,G,C,,,,,4,5,SG2GC_5,0.670653404,0.053
SG2GC_15,,,SG,G,C,,,,,14,15,SG2GC_15,0.545929768,NA
SG2GC_30,,,SG,G,C,,,,,29,30,SG2GC_30,NA,NA
SG3GC_5,337,GTM M4,SG,G,C,5,1.4840125,0.409376538,,4,5,SG3GC_5,0.644066768,0.066
SG3GC_15,339,GTM M4,SG,G,C,15,2.09332,0.340997418,,14,15,SG3GC_15,0.627087943,0.045
SG3GC_30,348,GTM M7,SG,G,C,30,-4.51556,0.051456346,,29,30,SG3GC_30,0.859379388,NA
SG4GC_5,,,SG,G,C,,,,,4,5,SG4GC_5,0.725921029,0.077
SG4GC_15,,,SG,G,C,,,,,14,15,SG4GC_15,0.744208367,0.063
SG4GC_30,,,SG,G,C,,,,,29,30,SG4GC_30,0.423438214,0.009
SG5GC_5,,,SG,G,C,,,,,4,5,SG5GC_5,NA,NA
SG5GC_15,,,SG,G,C,,,,,14,15,SG5GC_15,NA,NA
SG5GC_30,,,SG,G,C,,,,,29,30,SG5GC_30,NA,NA
SG6GC_5,355,SG6GC,SG,G,C,5,0.637132,0.129577082,,4,5,SG6GC_5,0.623751767,0.024
SG6GC_15,357,SG6GC,SG,G,C,15,2.552252,0.205405686,,14,15,SG6GC_15,0.575176103,0.024
SG6GC_30,360,SG6GC,SG,G,C,30,1.2354776,0.103223425,,29,30,SG6GC_30,0.573335268,NA
SG1MW_5,,,SG,M,W,,,,,4,5,SG1MW_5,NA,NA
SG1MW_15,,,SG,M,W,,,,,14,15,SG1MW_15,NA,NA
SG1MW_30,,,SG,M,W,,,,,29,30,SG1MW_30,NA,NA
SG2MW_5,,,SG,M,W,,,,,4,5,SG2MW_5,NA,NA
SG2MW_15,,,SG,M,W,,,,,14,15,SG2MW_15,NA,NA
SG2MW_30,372,SG2MW,SG,M,W,30,-3.5230605,0.057790778,,29,30,SG2MW_30,0.532802625,0.008
SG3MW_5,373,SG3MW,SG,M,W,5,1.3752296,0.456308906,,4,5,SG3MW_5,0.692255956,0.097
SG3MW_15,375,SG3MW,SG,M,W,15,3.0429368,0.416879315,,14,15,SG3MW_15,0.588415735,0.049
SG3MW_30,378,SG3MW,SG,M,W,30,-0.992964,0.117726092,,29,30,SG3MW_30,0.553771175,0.019
SG4MW_5,379,SG4MW,SG,M,W,5,1.9476952,0.365200878,,4,5,SG4MW_5,0.659357992,0.055
SG4MW_15,381,SG4MW,SG,M,W,15,2.9373464,0.559307709,,14,15,SG4MW_15,0.740433249,0.067
SG4MW_30,384,SG4MW,SG,M,W,30,-2.3974215,0.061203273,,29,30,SG4MW_30,0.417726979,0.009
SG5MW_5,385,SG5MW,SG,M,W,5,1.8048376,0.253928544,,4,5,SG5MW_5,0.696010287,0.035
SG5MW_15,387,SG5MW,SG,M,W,15,0.6029704,0.184696066,,14,15,SG5MW_15,0.580140261,0.029
SG5MW_30,390,SG5MW,SG,M,W,30,0.721407,0.136115697,,29,30,SG5MW_30,0.533505891,0.019
SG6MW_5,,,SG,M,W,,,,,4,5,SG6MW_5,NA,NA
SG6MW_15,,,SG,M,W,,,,,14,15,SG6MW_15,NA,NA
SG6MW_30,,,SG,M,W,,,,,29,30,SG6MW_30,NA,NA
SG1MC_5,397,SG1MC,SG,M,C,5,2.9104312,0.521050476,,4,5,SG1MC_5,0.73283151,0.094
SG1MC_15,399,SG1MC,SG,M,C,15,2.0522504,0.461687666,,14,15,SG1MC_15,0.705181533,0.076
SG1MC_30,402,SG1MC,SG,M,C,30,-2.601612,0.088817865,,29,30,SG1MC_30,0.429854039,0.013
SG2MC_5,403,SG2MC,SG,M,C,5,0.580443,0.244412253,,4,5,SG2MC_5,0.689800105,0.038
SG2MC_15,405,SG2MC,SG,M,C,15,2.0657475,0.379690672,,14,15,SG2MC_15,0.784534721,0.05
SG2MC_30,408,SG2MC,SG,M,C,30,-2.3483848,0.077266269,,29,30,SG2MC_30,0.47258303,NA
SG3MC_5,409,SG3MC_O.20cm,SG,M,C,5,1.3339785,0.328236289,,4,5,SG3MC_5,0.785163881,0.051
SG3MC_15,411,SG3MC_O.20cm,SG,M,C,15,0.6084285,0.320704185,,14,15,SG3MC_15,0.802209052,0.061
SG3MC_30,414,SG3MC,SG,M,C,30,0.455972,0.110797052,,29,30,SG3MC_30,0.292176777,0.016
SG4MC_5,415,SG4MC,SG,M,C,5,2.1735435,0.469100776,,4,5,SG4MC_5,0.710820752,0.073
SG4MC_15,417,SG4MC,SG,M,C,15,1.3878765,0.427943135,,14,15,SG4MC_15,0.810377638,0.097
SG4MC_30,420,SG4MC,SG,M,C,30,-0.0740504,0.088255906,,29,30,SG4MC_30,0.477356527,NA
SG5MC_5,421,SG5MC,SG,M,C,5,2.2212225,0.369752191,,4,5,SG5MC_5,0.858918552,0.054
SG5MC_15,423,SG5MC,SG,M,C,15,2.5321725,0.259721979,,14,15,SG5MC_15,0.753231418,0.032
SG5MC_30,,,SG,M,C,,,,,29,30,SG5MC_30,0.405556171,NA
