study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_cm,L_depth_cm,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Jupin_et_al_unpublished,,PDE,LTMPA02,,Mangrove,Mangrove,2021,18.483556,-91.795611,28,27,1.415326383,0.137571607,NA,1.172719405,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,44,43,2.140328685,0.130045782,NA,1.178181602,
Jupin_et_al_unpublished,,PDE,LTMPA02,,Mangrove,Mangrove,2021,18.483556,-91.795611,10,9,1.785983504,0.158829167,NA,1.179174729,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,67,66,3.086374811,0.142653488,NA,1.19283659,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,12,11,1.375699177,0.107239558,NA,1.203543261,
Jupin_et_al_unpublished,,CP,LTMCA01,,Mangrove,Mangrove,2021,18.619833,-91.267861,26,25,1.734204013,0.137884859,NA,1.222885043,
Jupin_et_al_unpublished,,EV,EVC02,,Mangrove,Mangrove,2021,23.438944,-106.573861,32,31,1.634617363,0.11088207,NA,1.226340615,
Jupin_et_al_unpublished,,CP,LTMCA01,,Mangrove,Mangrove,2021,18.619833,-91.267861,32,31,1.503062327,0.117699197,NA,1.2311611,
Jupin_et_al_unpublished,,CP,LTMCA01,,Mangrove,Mangrove,2021,18.619833,-91.267861,62,61,3.741232341,0.215683833,NA,1.24242927,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,24,23,1.422486008,0.10184602,NA,1.250892493,
Jupin_et_al_unpublished,,CP,LTMCA01,,Mangrove,Mangrove,2021,18.619833,-91.267861,38,37,1.617108584,0.109277366,NA,1.273368991,
Jupin_et_al_unpublished,,PDE,LTMPA02,,Mangrove,Mangrove,2021,18.483556,-91.795611,22,21,1.59351853,0.148257562,NA,1.273763695,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,42,41,1.062571248,0.049646075,NA,1.274819211,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,48,47,1.955434774,0.119873947,NA,1.275571695,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,29,28,1.360878337,0.085242564,NA,1.290362919,
Jupin_et_al_unpublished,,PDE,LTMPA02,,Mangrove,Mangrove,2021,18.483556,-91.795611,42,41,1.110241214,0.081575302,NA,1.307530008,
Jupin_et_al_unpublished,,PDE,LTMPA02,,Mangrove,Mangrove,2021,18.483556,-91.795611,21,20,1.460221389,0.131016459,NA,1.325902854,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,6,5,2.431870519,0.176343761,NA,1.340602405,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,25,24,1.37124649,0.095251065,NA,1.354338113,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,31,30,1.336387189,0.09019636,NA,1.355708119,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,16,15,1.01150528,0.094437401,NA,1.362047579,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,30,29,1.642896692,0.086114347,NA,1.363212593,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,58,57,1.116647284,0.06415725,NA,1.371436447,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,7,6,1.651081146,0.165760014,NA,1.375361844,
Jupin_et_al_unpublished,,PDE,LTMPA02,,Mangrove,Mangrove,2021,18.483556,-91.795611,30,29,2.018564179,0.13496046,NA,1.37813114,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,18,17,1.310456625,0.093408865,NA,1.405822827,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,28,27,1.490234893,0.092971687,NA,1.420863606,
Jupin_et_al_unpublished,,PDE,LTMPA02,,Mangrove,Mangrove,2021,18.483556,-91.795611,11,10,1.5672658,0.146203576,NA,1.428958863,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,33,32,1.339617059,0.076031423,NA,1.433510694,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,26,25,1.743402857,0.098150932,NA,1.4365983,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,13,12,1.362899659,0.108946804,NA,1.449618448,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,44,43,0.652271339,0.051610124,NA,1.449974955,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,60,59,0.91689885,0.059609447,NA,1.465013187,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,46,45,1.014229475,0.045119521,NA,1.465288207,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,38,37,0.876285923,0.040860351,NA,1.47995338,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,23,22,1.380936812,0.094265313,NA,1.480772073,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,21,20,0.968863024,0.08396361,NA,1.484719116,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,62,61,1.116649938,0.04816008,NA,1.488658519,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,3,2,3.546187169,0.230629285,NA,1.496028029,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,34,33,1.448558653,0.085417418,NA,1.497247793,
Jupin_et_al_unpublished,,PDE,LTMPA01,,Mangrove,Mangrove,2021,18.338861,-91.795917,50,49,1.993395845,0.113816149,NA,1.498299489,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,19,18,1.381693626,0.098513709,NA,1.513691682,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,40,39,0.854036634,0.043345531,NA,1.533620427,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,64,63,1.187954713,0.057217494,NA,1.541756428,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,36,35,0.953801867,0.056186056,NA,1.544749814,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,17,16,1.492972988,0.092614308,NA,1.552643899,
Jupin_et_al_unpublished,,CP,LTMCA01,,Mangrove,Mangrove,2021,18.619833,-91.267861,64,63,2.946173653,0.171857328,NA,1.602030314,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,48,47,0.694010566,0.031548457,NA,1.620622158,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,20,19,1.678760865,0.094754472,NA,1.6329051,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,32,31,1.628297551,0.087746834,NA,1.652990454,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,54,53,1.079507706,0.062531347,NA,1.661312348,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,52,51,0.888859059,0.04517506,NA,1.691611629,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,27,26,1.986350987,0.093756342,NA,1.699652137,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,15,14,1.198633467,0.095538334,NA,1.704014255,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,50,49,0.762505908,0.052050054,NA,1.718787654,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,14,13,1.393179508,0.10691681,NA,1.755681043,
Jupin_et_al_unpublished,,EV,EVC01,,Mangrove,Mangrove,2021,23.423833,-106.558194,56,55,0.887865387,0.055656474,NA,1.82549786,
