study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.3,0.31,11.03,0.43,14.37,0.3,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.31,0.32,10.05,0.4,14.27,0.32,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.32,0.33,9.51,0.37,11.79,0.37,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.33,0.34,8.98,0.43,11.74,0.36,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.34,0.35,11.3,0.34,14.34,0.34,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.35,0.36,7.74,0.41,14.7,0.37,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.36,0.37,10.94,0.41,13.97,0.3,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.37,0.38,11.08,0.42,14.99,0.35,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.38,0.39,11.54,0.42,14.78,0.27,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.39,0.4,12.99,0.44,14.91,0.26,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.4,0.41,12.45,0.43,16.1,0.3,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.41,0.42,11.38,0.43,15.57,0.35,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.42,0.43,11.69,0.43,15.7,0.31,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.43,0.44,11.84,0.43,14.87,0.26,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.44,0.45,13.97,0.5,15.61,0.2,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.45,0.46,12.87,0.48,18.2,0.29,
"Ruiz-Fernandez et al., 2018",https://doi.org/10.1177/09596836166328,EU,EUI,,marsh only flooded with the highest tide,marsh,,23.15311,-106.3303333,0.46,0.47,12.9,0.49,18.76,0.37,
,,,,,,marsh,,,,,,,,,,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0,0.01,3.54,0.31,5.35,0.5,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.01,0.02,3.5,0.3,4.48,0.45,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.02,0.03,3.61,0.25,4.4,0.43,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.03,0.04,3.71,0.2,5.36,0.66,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.04,0.05,3.64,0.2,5.36,0.41,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.05,0.06,3.57,0.21,5.38,0.33,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.06,0.07,3.54,0.19,5.16,0.53,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.07,0.08,3.52,0.18,4.99,0.73,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.08,0.09,3.3,0.17,4.48,0.43,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.09,0.1,3.08,0.16,3.48,0.77,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.1,0.11,2.87,0.15,4.74,0.78,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.11,0.12,2.66,0.14,3.6,0.61,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.12,0.13,2.23,0.12,2.36,1.02,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.13,0.14,1.8,0.11,1.09,1.08,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.14,0.15,1.62,0.1,2.67,0.69,
