Source,Site_name,Site,Latitude,Longitude,Core_id,Year_collected,U_depth_m,L_depth_m,U_depth_cm,L_depth_cm,Soil moisture content (%),BD_reported_g_cm3,OC_perc,N_perc,Method,Soil loss-on-ignition (mg·g−1),Total soil organic carbon (mg·g−1),Total soil nitrogen (mg·g−1),Refractory soil organic carbon (mg·g−1),Refractory soil nitrogen (mg·g−1),Habitat_type,,,,,,
McClellan_et_al_2021,W29-3-25,W29,29.501111,-91.480833,3,2016,0.25,0.3,25,30,46,0.787,2.2,0.093,EA,58.6,22,0.93,14.1,0.37,Marsh,,,,,,
McClellan_et_al_2021,W41-1-00,W41,29.501111,-91.480833,1,2016,0,0.05,0,5,76,0.271,10.78,0.78,EA,271.9,107.8,7.8,67.5,1.44,Marsh,,,,,,
McClellan_et_al_2021,W41-1-05,W41,29.501111,-91.480833,1,2016,0.05,0.1,5,10,58,0.565,4.93,0.357,EA,141.2,49.3,3.57,27.3,0.74,Marsh,,,,,,
McClellan_et_al_2021,W41-1-10,W41,29.501111,-91.480833,1,2016,0.1,0.15,10,15,54,0.621,3.87,0.285,EA,112.8,38.7,2.85,20.6,0.59,Marsh,,,,,,
McClellan_et_al_2021,W41-1-15,W41,29.501111,-91.480833,1,2016,0.15,0.2,15,20,47,0.736,2.37,0.178,EA,80.2,23.7,1.78,13.4,0.4,Marsh,,,,,,
McClellan_et_al_2021,W41-1-20,W41,29.501111,-91.480833,1,2016,0.2,0.25,20,25,49,0.738,2.34,0.173,EA,84.4,23.4,1.73,13.7,0.41,Marsh,,,,,,
McClellan_et_al_2021,W41-1-25,W41,29.501111,-91.480833,1,2016,0.25,0.3,25,30,41,0.913,1.92,0.133,EA,65.9,19.2,1.33,10.7,0.33,Marsh,,,,,,
McClellan_et_al_2021,W41-2-00,W41,29.501111,-91.480833,2,2016,0,0.05,0,5,84,0.158,12.33,0.967,EA,306.4,123.3,9.67,73,1.82,Marsh,,,,,,
McClellan_et_al_2021,W41-2-05,W41,29.501111,-91.480833,2,2016,0.05,0.1,5,10,64,0.452,4.91,0.376,EA,144.8,49.1,3.76,27.8,0.8,Marsh,,,,,,
McClellan_et_al_2021,W41-2-10,W41,29.501111,-91.480833,2,2016,0.1,0.15,10,15,55,0.621,3.23,0.242,EA,103.4,32.3,2.42,18.3,0.56,Marsh,,,,,,
McClellan_et_al_2021,W41-2-15,W41,29.501111,-91.480833,2,2016,0.15,0.2,15,20,55,0.63,3.02,0.232,EA,96.7,30.2,2.32,15.9,0.5,Marsh,,,,,,
McClellan_et_al_2021,W41-2-20,W41,29.501111,-91.480833,2,2016,0.2,0.25,20,25,48,0.751,2.12,0.154,EA,72.5,21.2,1.54,9.7,0.32,Marsh,,,,,,
McClellan_et_al_2021,W41-2-25,W41,29.501111,-91.480833,2,2016,0.25,0.3,25,30,45,0.802,1.98,0.148,EA,67.6,19.8,1.48,12.9,0.39,Marsh,,,,,,
McClellan_et_al_2021,W41-3-00,W41,29.501111,-91.480833,3,2016,0,0.05,0,5,70,0.324,5.9,0.459,EA,153.3,59,4.59,35.1,0.89,Marsh,,,,,,
McClellan_et_al_2021,W41-3-05,W41,29.501111,-91.480833,3,2016,0.05,0.1,5,10,66,0.432,5.22,0.398,EA,161,52.2,3.98,28.4,0.8,Marsh,,,,,,
McClellan_et_al_2021,W41-3-10,W41,29.501111,-91.480833,3,2016,0.1,0.15,10,15,49,0.734,2.76,0.206,EA,103.4,27.6,2.06,13.9,0.43,Marsh,,,,,,
McClellan_et_al_2021,W41-3-15,W41,29.501111,-91.480833,3,2016,0.15,0.2,15,20,43,0.888,2.1,0.143,EA,76.2,21,1.43,10.6,0.31,Marsh,,,,,,
McClellan_et_al_2021,W41-3-20,W41,29.501111,-91.480833,3,2016,0.2,0.25,20,25,44,0.874,2.21,0.151,EA,80.9,22.1,1.51,10.5,0.33,Marsh,,,,,,
McClellan_et_al_2021,W41-3-25,W41,29.501111,-91.480833,3,2016,0.25,0.3,25,30,43,0.905,2.01,0.139,EA,75,20.1,1.39,10,0.32,Marsh,,,,,,
McClellan_et_al_2021,W60-1-00,W60,29.501111,-91.480833,1,2016,0,0.05,0,5,89,0.09,25.22,1.475,EA,569.6,252.2,14.75,186.3,2.9,Marsh,,,,,,
McClellan_et_al_2021,W60-1-05,W60,29.501111,-91.480833,1,2016,0.05,0.1,5,10,80,0.193,13.69,0.896,EA,319,136.9,8.96,97.5,1.77,Marsh,,,,,,
McClellan_et_al_2021,W60-1-10,W60,29.501111,-91.480833,1,2016,0.1,0.15,10,15,77,0.246,9.8,0.686,EA,239.5,98,6.86,68.5,1.45,Marsh,,,,,,
McClellan_et_al_2021,W60-1-15,W60,29.501111,-91.480833,1,2016,0.15,0.2,15,20,77,0.264,10.49,0.725,EA,246.9,104.9,7.25,64.9,1.41,Marsh,,,,,,
McClellan_et_al_2021,W60-1-20,W60,29.501111,-91.480833,1,2016,0.2,0.25,20,25,59,0.529,4.1,0.277,EA,118.6,41,2.77,23.8,0.6,Marsh,,,,,,
McClellan_et_al_2021,W60-1-25,W60,29.501111,-91.480833,1,2016,0.25,0.3,25,30,68,0.376,5.51,0.389,EA,162.2,55.1,3.89,35.7,0.88,Marsh,,,,,,
McClellan_et_al_2021,W60-2-00,W60,29.501111,-91.480833,2,2016,0,0.05,0,5,85,0.15,16.46,1.112,EA,395.5,164.6,11.12,110.1,2.26,Marsh,,,,,,
McClellan_et_al_2021,W60-2-05,W60,29.501111,-91.480833,2,2016,0.05,0.1,5,10,76,0.273,11.54,0.795,EA,268.9,115.4,7.95,76.4,1.62,Marsh,,,,,,
McClellan_et_al_2021,W60-2-10,W60,29.501111,-91.480833,2,2016,0.1,0.15,10,15,73,0.305,8.45,0.603,EA,212.8,84.5,6.03,56.8,1.26,Marsh,,,,,,
McClellan_et_al_2021,W60-2-15,W60,29.501111,-91.480833,2,2016,0.15,0.2,15,20,68,0.397,5.98,0.412,EA,157.7,59.8,4.12,35.4,0.93,Marsh,,,,,,
McClellan_et_al_2021,W60-2-20,W60,29.501111,-91.480833,2,2016,0.2,0.25,20,25,70,0.37,6.26,0.405,EA,175.5,62.6,4.05,41.2,1.01,Marsh,,,,,,
McClellan_et_al_2021,W60-2-25,W60,29.501111,-91.480833,2,2016,0.25,0.3,25,30,63,0.451,4.38,0.262,EA,132.9,43.8,2.62,27.1,0.66,Marsh,,,,,,
McClellan_et_al_2021,W60-3-00,W60,29.501111,-91.480833,3,2016,0,0.05,0,5,81,0.206,12.96,0.9,EA,329.1,129.6,9,86.5,1.79,Marsh,,,,,,
McClellan_et_al_2021,W60-3-05,W60,29.501111,-91.480833,3,2016,0.05,0.1,5,10,74,0.301,9.36,0.678,EA,235.7,93.6,6.78,58.2,1.39,Marsh,,,,,,
McClellan_et_al_2021,W60-3-10,W60,29.501111,-91.480833,3,2016,0.1,0.15,10,15,72,0.325,7.82,0.569,EA,207.4,78.2,5.69,51.7,1.2,Marsh,,,,,,
McClellan_et_al_2021,W60-3-15,W60,29.501111,-91.480833,3,2016,0.15,0.2,15,20,67,0.39,6.3,0.458,EA,154.1,63,4.58,38.3,0.92,Marsh,,,,,,
McClellan_et_al_2021,W60-3-20,W60,29.501111,-91.480833,3,2016,0.2,0.25,20,25,62,0.48,4.94,0.351,EA,143.9,49.4,3.51,30.5,0.74,Marsh,,,,,,
McClellan_et_al_2021,W60-3-25,W60,29.501111,-91.480833,3,2016,0.25,0.3,25,30,68,0.393,7.11,0.456,EA,180,71.1,4.56,41.5,1,Marsh,,,,,,
McClellan_et_al_2021,S01-2-00,S01,29.501111,-91.480833,2,2016,0,0.05,0,5,38,1.028,1.54,0.143,EA,51.6,15.4,1.43,7.6,0.35,Marsh,,,,,,
McClellan_et_al_2021,S01-2-05,S01,29.501111,-91.480833,2,2016,0.05,0.1,5,10,41,0.903,1.6,0.154,EA,55.4,16,1.54,7.6,0.32,Marsh,,,,,,
McClellan_et_al_2021,S01-2-10,S01,29.501111,-91.480833,2,2016,0.1,0.15,10,15,43,0.901,1.81,0.162,EA,58,18.1,1.62,8.5,0.34,Marsh,,,,,,
McClellan_et_al_2021,S01-2-15,S01,29.501111,-91.480833,2,2016,0.15,0.2,15,20,48,0.779,1.66,0.17,EA,64.4,16.6,1.7,8.4,0.33,Marsh,,,,,,
McClellan_et_al_2021,S01-2-20,S01,29.501111,-91.480833,2,2016,0.2,0.25,20,25,49,0.652,1.65,0.154,EA,66.4,16.5,1.54,8.4,0.33,Marsh,,,,,,
McClellan_et_al_2021,S01-3-00,S01,29.501111,-91.480833,3,2016,0,0.05,0,5,44,0.699,1.69,0.149,EA,57.7,16.9,1.49,7.9,0.32,Marsh,,,,,,
McClellan_et_al_2021,S01-3-05,S01,29.501111,-91.480833,3,2016,0.05,0.1,5,10,43,0.871,1.67,0.146,EA,58.9,16.7,1.46,8.1,0.31,Marsh,,,,,,
McClellan_et_al_2021,S01-3-10,S01,29.501111,-91.480833,3,2016,0.1,0.15,10,15,46,0.817,1.59,0.143,EA,52.7,15.9,1.43,8.1,0.32,Marsh,,,,,,
McClellan_et_al_2021,S01-3-15,S01,29.501111,-91.480833,3,2016,0.15,0.2,15,20,52,0.608,1.75,0.157,EA,60,17.5,1.57,8.3,0.33,Marsh,,,,,,
