Source,Site_name,Site,Latitude,Longitude,Core_id,Year_collected,U_depth_m,L_depth_m,U_depth_cm,L_depth_cm,Soil moisture content (%),BD_reported_g_cm3,OC_perc,N_perc,Method,Soil loss-on-ignition (mg·g−1),Total soil organic carbon (mg·g−1),Total soil nitrogen (mg·g−1),Refractory soil organic carbon (mg·g−1),Refractory soil nitrogen (mg·g−1),Habitat_type,,,,,,
McClellan_et_al_2021,S14-2-20,S14,29.946667,93.400833,2,2016,0.2,0.25,20,25,49,0.758,1.49,0.129,EA,48.9,14.9,1.29,7.6,0.29,Marsh,,,,,,
McClellan_et_al_2021,S14-2-25,S14,29.946667,93.400833,2,2016,0.25,0.3,25,30,51,0.709,1.48,0.131,EA,52.7,14.8,1.31,7.4,0.29,Marsh,,,,,,
McClellan_et_al_2021,S14-3-00,S14,29.946667,93.400833,3,2016,0,0.05,0,5,58,0.423,5.96,0.363,EA,132.7,59.6,3.63,44.5,1.2,Marsh,,,,,,
McClellan_et_al_2021,S14-3-05,S14,29.946667,93.400833,3,2016,0.05,0.1,5,10,44,0.74,3.64,0.213,EA,78.7,36.4,2.13,26.6,0.8,Marsh,,,,,,
McClellan_et_al_2021,S14-3-10,S14,29.946667,93.400833,3,2016,0.1,0.15,10,15,39,0.945,1.7,0.117,EA,48.3,17,1.17,7.9,0.27,Marsh,,,,,,
McClellan_et_al_2021,S14-3-15,S14,29.946667,93.400833,3,2016,0.15,0.2,15,20,41,0.919,1.41,0.113,EA,48.4,14.1,1.13,6.9,0.27,Marsh,,,,,,
McClellan_et_al_2021,S14-3-20,S14,29.946667,93.400833,3,2016,0.2,0.25,20,25,43,0.873,1.43,0.119,EA,49.8,14.3,1.19,6.6,0.29,Marsh,,,,,,
McClellan_et_al_2021,S14-3-25,S14,29.946667,93.400833,3,2016,0.25,0.3,25,30,46,0.82,1.5,0.127,EA,51.7,15,1.27,7.2,0.27,Marsh,,,,,,
McClellan_et_al_2021,S01-1-00,S01,29.946667,93.400833,1,2016,0,0.05,0,5,39,0.547,1.58,0.137,EA,60.5,15.8,1.37,7.6,0.32,Marsh,,,,,,
McClellan_et_al_2021,S01-1-05,S01,29.946667,93.400833,1,2016,0.05,0.1,5,10,38,0.823,1.62,0.141,EA,58.5,16.2,1.41,7.4,0.29,Marsh,,,,,,
McClellan_et_al_2021,S01-1-10,S01,29.946667,93.400833,1,2016,0.1,0.15,10,15,43,0.869,1.48,0.136,EA,62.9,14.8,1.36,6.8,0.27,Marsh,,,,,,
McClellan_et_al_2021,S01-1-15,S01,29.946667,93.400833,1,2016,0.15,0.2,15,20,45,0.687,1.52,0.139,EA,67.2,15.2,1.39,6.9,0.27,Marsh,,,,,,
McClellan_et_al_2021,S01-1-20,S01,29.946667,93.400833,1,2016,0.2,0,20,0,47,0.558,1.54,0.144,EA,68.1,15.4,1.44,7.2,0.27,Marsh,,,,,,
McClellan_et_al_2021,S33-1-00,S33,29.946667,93.400833,1,2016,0,0.05,0,5,48,0.826,2.74,0.164,EA,83.7,27.4,1.64,19.3,0.46,Marsh,,,,,,
McClellan_et_al_2021,S33-1-05,S33,29.946667,93.400833,1,2016,0.05,0.1,5,10,49,0.724,3.34,0.221,EA,101.8,33.4,2.21,18.4,0.48,Marsh,,,,,,
McClellan_et_al_2021,S33-1-10,S33,29.946667,93.400833,1,2016,0.1,0.15,10,15,53,0.63,3.43,0.238,EA,108.5,34.3,2.38,20.5,0.55,Marsh,,,,,,
McClellan_et_al_2021,S33-1-15,S33,29.946667,93.400833,1,2016,0.15,0.2,15,20,59,0.551,4.23,0.284,EA,130,42.3,2.84,25.2,0.67,Marsh,,,,,,
McClellan_et_al_2021,S33-1-20,S33,29.946667,93.400833,1,2016,0.2,0.25,20,25,58,0.541,3.68,0.251,EA,122.5,36.8,2.51,22,0.6,Marsh,,,,,,
McClellan_et_al_2021,S33-1-25,S33,29.946667,93.400833,1,2016,0.25,0.3,25,30,64,0.416,4.77,0.319,EA,157,47.7,3.19,30.2,0.8,Marsh,,,,,,
McClellan_et_al_2021,S33-2-00,S33,29.946667,93.400833,2,2016,0,0.05,0,5,32,1.2,1.19,0.073,EA,41.6,11.9,0.73,9,0.23,Marsh,,,,,,
McClellan_et_al_2021,S33-2-05,S33,29.946667,93.400833,2,2016,0.05,0.1,5,10,34,1.12,1.55,0.089,EA,44.2,15.5,0.89,13.2,0.32,Marsh,,,,,,
McClellan_et_al_2021,S33-2-10,S33,29.946667,93.400833,2,2016,0.1,0.15,10,15,34,1.116,1.66,0.104,EA,52,16.6,1.04,10.1,0.24,Marsh,,,,,,
McClellan_et_al_2021,S33-2-15,S33,29.946667,93.400833,2,2016,0.15,0.2,15,20,39,0.922,2.04,0.117,EA,56.2,20.4,1.17,13,0.32,Marsh,,,,,,
McClellan_et_al_2021,S33-2-20,S33,29.946667,93.400833,2,2016,0.2,0.25,20,25,35,1.04,1.35,0.088,EA,46.5,13.5,0.88,8.7,0.22,Marsh,,,,,,
