alpha.3,area_tidal_marsh_km2,area_mangrove_km2,area_total_km2,car_marsh,car_mangrove,car_total_ggy,nar_marsh,nar_mangrove,nar_total
TCA,0,171.88,171.88,0,21.49,21.49,0,1.004675082,1.004675
TGO,0,4.02,4.02,0,0.84,0.84,0,0.039270687,0.039271
THA,0,2499.15,2499.15,0,1116.75,1116.41,0,52.20897616,52.208976
TLS,0,10.18,10.18,0,2.91,2.91,0,0.136044881,0.136045
TON,0,7.83,7.83,0,0.93,0.93,0,0.043478261,0.043478
TTO,0,63.76,63.76,0,15.25,15.25,0,0.712949977,0.71295
TUR,256.3,0,256.3,34.17,0,34.17,2.287149,0,2.287149
TUV,0,0.08,0.08,0,0,0,0,0,0
TWN,46.26,1.65,47.91,16.15,0.6,16.75,1.080991,0.028050491,1.109041
TZA,0,996.67,996.67,0,28.92,28.92,0,1.352033661,1.352034
URY,24.88,0,24.88,8,0,8,0.535475,0,0.535475
USA,19940.71,2376.77,22317.48,3744.31,366.71,4112.09,250.623159,17.14399252,267.767152
VCT,0,0.47,0.47,0,0.07,0.07,0,0.003272557,0.003273
VEN,0,3348.04,3348.04,0,805.14,805.3,0,37.64095372,37.640954
VGB,0,0.78,0.78,0,0.1,0.1,0,0.004675082,0.004675
VIR,1.27,1.86,3.13,0.16,0.23,0.39,0.01071,0.010752688,0.021462
VNM,0.05,2164.09,2164.13,0,543.76,543.98,0,25.42122487,25.421225
VUT,0,13.65,13.65,0,0.95,0.95,0,0.044413277,0.044413
WLF,0,0.14,0.14,0,0.02,0.02,0,0.000935016,0.000935
WSM,0,3.77,3.77,0,0.45,0.45,0,0.021037868,0.021038
YEM,0,10.28,10.28,0,0.21,0.21,0,0.009817672,0.009818
ZAF,61.47,17.48,78.96,12.08,0.51,12.59,0.808568,0.023842917,0.832411
