"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"31","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.3,0.31,0.44,0.05,1.32,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"32","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.31,0.32,0.42,0.05,1.53,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"33","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.32,0.33,0.43,0.05,1.38,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"34","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.33,0.34,0.46,0.05,1.41,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"35","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.34,0.35,0.42,0.05,1.41,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"36","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.35,0.36,0.34,0.04,1.29,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"37","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.36,0.37,0.42,0.05,1.53,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"38","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.37,0.38,0.43,0.05,1.69,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"39","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.38,0.39,0.42,0.05,1.47,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"40","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.39,0.4,0.43,0.05,1.22,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"41","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.4,0.41,0.42,0.05,1.57,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"42","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.41,0.42,0.41,0.05,1.4,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"43","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.42,0.43,0.41,0.05,1.44,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"44","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.43,0.44,0.4,0.05,1.1,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"45","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.44,0.45,0.47,0.05,1.39,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"46","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.45,0.46,0.33,0.04,1.65,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"47","Carnero-Bravo et al. 2018","CELE","CELE 00-01","tropical salt marsh",2013,20.835528,-90.047222,0.46,0.47,0.32,0.03,1.27,"http://dx.doi.org/10.1016/j.catena.2017.09.016"
"48","Carnero-Bravo et al. 2016","LANE","LANE 00-01","tropical salt marsh",2013,19.790542,-87.480394,0,0.01,7.18,0.91,0.7,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"49","Carnero-Bravo et al. 2016","LANE","LANE 01-02","tropical salt marsh",2013,19.790542,-87.480394,0.01,0.02,1.12,0.14,0.78,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"50","Carnero-Bravo et al. 2016","LANE","LANE 02-03","tropical salt marsh",2013,19.790542,-87.480394,0.02,0.03,0.95,0.11,0.95,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"51","Carnero-Bravo et al. 2016","LANE","LANE 03-04","tropical salt marsh",2013,19.790542,-87.480394,0.03,0.04,0.77,0.1,1,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"52","Carnero-Bravo et al. 2016","LANE","LANE 04-05","tropical salt marsh",2013,19.790542,-87.480394,0.04,0.05,0.89,0.09,0.98,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"53","Carnero-Bravo et al. 2016","LANE","LANE 05-06","tropical salt marsh",2013,19.790542,-87.480394,0.05,0.06,0.77,0.09,1.14,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"54","Carnero-Bravo et al. 2016","LANE","LANE 06-07","tropical salt marsh",2013,19.790542,-87.480394,0.06,0.07,0.71,0.09,0.92,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"55","Carnero-Bravo et al. 2016","LANE","LANE 07-08","tropical salt marsh",2013,19.790542,-87.480394,0.07,0.08,0.72,0.08,1.14,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"56","Carnero-Bravo et al. 2016","LANE","LANE 08-09","tropical salt marsh",2013,19.790542,-87.480394,0.08,0.09,0.94,0.1,1.22,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"57","Carnero-Bravo et al. 2016","LANE","LANE 09-10","tropical salt marsh",2013,19.790542,-87.480394,0.09,0.1,0.78,0.09,1.08,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"58","Carnero-Bravo et al. 2016","LANE","LANE 10-11","tropical salt marsh",2013,19.790542,-87.480394,0.1,0.11,0.9,0.09,1.08,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"59","Carnero-Bravo et al. 2016","LANE","LANE 11-12","tropical salt marsh",2013,19.790542,-87.480394,0.11,0.12,0.86,0.09,1.2,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"60","Carnero-Bravo et al. 2016","LANE","LANE 12-13","tropical salt marsh",2013,19.790542,-87.480394,0.12,0.13,0.88,0.09,1.03,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"61","Carnero-Bravo et al. 2016","LANE","LANE 13-14","tropical salt marsh",2013,19.790542,-87.480394,0.13,0.14,0.89,0.09,1,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"62","Carnero-Bravo et al. 2016","LANE","LANE 14-15","tropical salt marsh",2013,19.790542,-87.480394,0.14,0.15,0.84,0.09,1.18,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"63","Carnero-Bravo et al. 2016","LANE","LANE 15-16","tropical salt marsh",2013,19.790542,-87.480394,0.15,0.16,0.88,0.09,1,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"64","Carnero-Bravo et al. 2016","LANE","LANE 16-17","tropical salt marsh",2013,19.790542,-87.480394,0.16,0.17,0.91,0.09,1.26,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"65","Carnero-Bravo et al. 2016","LANE","LANE 17-18","tropical salt marsh",2013,19.790542,-87.480394,0.17,0.18,0.93,0.09,1.03,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"66","Carnero-Bravo et al. 2016","LANE","LANE 18-19","tropical salt marsh",2013,19.790542,-87.480394,0.18,0.19,0.87,0.09,1.17,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"67","Carnero-Bravo et al. 2016","LANE","LANE 19-20","tropical salt marsh",2013,19.790542,-87.480394,0.19,0.2,0.77,0.09,1.23,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"68","Carnero-Bravo et al. 2016","LANE","LANE 20-21","tropical salt marsh",2013,19.790542,-87.480394,0.2,0.21,1.23,0.1,1.14,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"69","Carnero-Bravo et al. 2016","LANE","LANE 21-22","tropical salt marsh",2013,19.790542,-87.480394,0.21,0.22,0.79,0.09,1.08,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"70","Carnero-Bravo et al. 2016","LANE","LANE 22-23","tropical salt marsh",2013,19.790542,-87.480394,0.22,0.23,1.05,0.09,1.1,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"71","Carnero-Bravo et al. 2016","LANE","LANE 23-24","tropical salt marsh",2013,19.790542,-87.480394,0.23,0.24,1.01,0.09,1.21,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"72","Carnero-Bravo et al. 2016","LANE","LANE 24-25","tropical salt marsh",2013,19.790542,-87.480394,0.24,0.25,1.21,0.09,0.99,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"73","Carnero-Bravo et al. 2016","LANE","LANE 25-26","tropical salt marsh",2013,19.790542,-87.480394,0.25,0.26,1.33,0.1,1.25,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"74","Carnero-Bravo et al. 2016","LANE","LANE 26-27","tropical salt marsh",2013,19.790542,-87.480394,0.26,0.27,0.57,0.08,1.16,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"75","Carnero-Bravo et al. 2016","LANE","LANE 27-28","tropical salt marsh",2013,19.790542,-87.480394,0.27,0.28,0.59,0.08,1.13,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"76","Carnero-Bravo et al. 2016","LANE","LANE 28-29","tropical salt marsh",2013,19.790542,-87.480394,0.28,0.29,0.93,0.09,1.16,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"77","Carnero-Bravo et al. 2016","LANE","LANE 29-30","tropical salt marsh",2013,19.790542,-87.480394,0.29,0.3,1.19,0.09,1.02,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"78","Carnero-Bravo et al. 2016","LANE","LANE 30-31","tropical salt marsh",2013,19.790542,-87.480394,0.3,0.31,1.12,0.09,1.21,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
