"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"300","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.33,0.32,1.339617059,0.076031423,1.433510694,"in_submission"
"301","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.26,0.25,1.743402857,0.098150932,1.4365983,"in_submission"
"302","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.13,0.12,1.362899659,0.108946804,1.449618448,"in_submission"
"303","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.44,0.43,0.652271339,0.051610124,1.449974955,"in_submission"
"304","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.6,0.59,0.91689885,0.059609447,1.465013187,"in_submission"
"305","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.46,0.45,1.014229475,0.045119521,1.465288207,"in_submission"
"306","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.38,0.37,0.876285923,0.040860351,1.47995338,"in_submission"
"307","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.23,0.22,1.380936812,0.094265313,1.480772073,"in_submission"
"308","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.21,0.2,0.968863024,0.08396361,1.484719116,"in_submission"
"309","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.62,0.61,1.116649938,0.04816008,1.488658519,"in_submission"
"310","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.03,0.02,3.546187169,0.230629285,1.496028029,"in_submission"
"311","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.34,0.33,1.448558653,0.085417418,1.497247793,"in_submission"
"312","jupin_et_al_unpublished","PDE","LTMPA01","Mangrove",2021,18.338861,-91.795917,0.5,0.49,1.993395845,0.113816149,1.498299489,"in_submission"
"313","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.19,0.18,1.381693626,0.098513709,1.513691682,"in_submission"
"314","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.4,0.39,0.854036634,0.043345531,1.533620427,"in_submission"
