"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"49","Adame_unpublished","Arco",3,"Salt marsh",2018,"30.457969","-116.025869",0,0.15,6.55,0.63,0.35,NA
"50","Adame_unpublished","Arco",3,"Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,3.67,0.42,0.57,NA
"51","Adame_unpublished","Arco",3,"Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,2.37,0.32,1.02,NA
"52","Adame_unpublished","Arco",3,"Salt marsh",2018,"30.457969","-116.025869",0.5,1,1.12,0.12,1.53,NA
"53","Adame_unpublished","Arco",4,"Salt marsh",2018,"30.457969","-116.025869",0,0.15,3.24,0.34,0.5,NA
"54","Adame_unpublished","Arco",4,"Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,2.6,0.3,0.7,NA
"55","Adame_unpublished","Arco",4,"Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,1.25,0.17,1.29,NA
"56","Adame_unpublished","Arco",4,"Salt marsh",2018,"30.457969","-116.025869",0.5,1,0.82,0.1,1.94,NA
"57","Adame_unpublished","Arco",5,"Salt marsh",2018,"30.457969","-116.025869",0,0.15,4.01,0.37,0.79,NA
"58","Adame_unpublished","Arco",5,"Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,1.68,0.2,0.87,NA
"59","Adame_unpublished","Arco",5,"Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,1.12,0.14,1.12,NA
"60","Adame_unpublished","Arco",5,"Salt marsh",2018,"30.457969","-116.025869",0.5,1,1.34,0.16,2.32,NA
"61","Adame et al. 2015","Paistalon",1,"Mangroves",2012,"15.17869587","-86.80539547",0,0.15,29.25,0.94,0.28,"https://bg.copernicus.org/articles/12/3805/2015/"
"62","Adame et al. 2015","Paistalon",1,"Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,28.21,1.09,0.21,"https://bg.copernicus.org/articles/12/3805/2015/"
"63","Adame et al. 2015","Paistalon",1,"Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,26.55,0.83,0.18,"https://bg.copernicus.org/articles/12/3805/2015/"
"64","Adame et al. 2015","Paistalon",1,"Mangroves",2012,"15.17869587","-86.80539547",0.5,1.44,28.1,1.25,0.13,"https://bg.copernicus.org/articles/12/3805/2015/"
"65","Adame et al. 2015","Paistalon",2,"Mangroves",2012,"15.17869587","-86.80539547",0,0.15,27.2,0.9,0.19,"https://bg.copernicus.org/articles/12/3805/2015/"
"66","Adame et al. 2015","Paistalon",2,"Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,20.03,0.81,0.18,"https://bg.copernicus.org/articles/12/3805/2015/"
"67","Adame et al. 2015","Paistalon",2,"Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,14.08,0.56,0.27,"https://bg.copernicus.org/articles/12/3805/2015/"
"68","Adame et al. 2015","Paistalon",2,"Mangroves",2012,"15.17869587","-86.80539547",0.5,1.5,27.47,1.19,0.14,"https://bg.copernicus.org/articles/12/3805/2015/"
"69","Adame et al. 2015","Paistalon",3,"Mangroves",2012,"15.17869587","-86.80539547",0,0.15,31.02,1.03,0.17,"https://bg.copernicus.org/articles/12/3805/2015/"
"70","Adame et al. 2015","Paistalon",3,"Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,25.4,1.02,0.19,"https://bg.copernicus.org/articles/12/3805/2015/"
"71","Adame et al. 2015","Paistalon",3,"Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,6.88,0.4,0.35,"https://bg.copernicus.org/articles/12/3805/2015/"
"72","Adame et al. 2015","Paistalon",3,"Mangroves",2012,"15.17869587","-86.80539547",0.5,1.5,18.56,0.66,0.18,"https://bg.copernicus.org/articles/12/3805/2015/"
"73","Adame et al. 2015","Paistalon",4,"Mangroves",2012,"15.17869587","-86.80539547",0,0.15,22.53,1.08,0.25,"https://bg.copernicus.org/articles/12/3805/2015/"
"74","Adame et al. 2015","Paistalon",4,"Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,14.87,0.71,0.21,"https://bg.copernicus.org/articles/12/3805/2015/"
