"","Database","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"34","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.34,0.35,12.72824574,1.17019856,0.273425584,"https://doi.org/10.1038/s41558-018-0162-5"
"35","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.39,0.4,15.41655159,1.398183823,0.268382395,"https://doi.org/10.1038/s41558-018-0162-5"
"36","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.44,0.45,21.41448402,1.902566671,0.214653317,"https://doi.org/10.1038/s41558-018-0162-5"
"37","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.49,0.5,24.29241753,2.198058605,0.302710658,"https://doi.org/10.1038/s41558-018-0162-5"
"38","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.54,0.56,25.27223969,2.18881321,0.210487389,"https://doi.org/10.1038/s41558-018-0162-5"
"39","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.6,0.62,23.48121643,1.930016518,0.184818507,"https://doi.org/10.1038/s41558-018-0162-5"
"40","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.66,0.68,20.61848068,1.834793806,0.247574066,"https://doi.org/10.1038/s41558-018-0162-5"
"41","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.72,0.74,15.79502201,1.452405334,0.281943118,"https://doi.org/10.1038/s41558-018-0162-5"
"42","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.78,0.8,15.64600563,1.321858764,0.27731573,"https://doi.org/10.1038/s41558-018-0162-5"
"43","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.84,0.86,11.02597237,0.903569698,0.40007574,"https://doi.org/10.1038/s41558-018-0162-5"
